"key","scientificName","decimalLatitude","decimalLongitude","issues","datasetKey","publishingOrgKey","networkKeys","installationKey","hostingOrganizationKey","publishingCountry","protocol","lastCrawled","lastParsed","crawlId","basisOfRecord","occurrenceStatus","taxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","acceptedTaxonKey","acceptedScientificName","kingdom","phylum","order","family","genus","species","genericName","specificEpithet","taxonRank","taxonomicStatus","iucnRedListCategory","dateIdentified","continent","stateProvince","year","month","day","eventDate","startDayOfYear","endDayOfYear","modified","lastInterpreted","isSequenced","identifier","facts","relations","institutionKey","collectionKey","isInCluster","datasetName","otherCatalogNumbers","recordedBy","identifiedBy","geodeticDatum","class","countryCode","recordedByIDs","identifiedByIDs","gbifRegion","country","publishedByGbifRegion","rightsHolder","recordNumber","identifier.1","catalogNumber","institutionID","institutionCode","fieldNotes","municipality","locality","gbifID","collectionCode","occurrenceID","name","elevation","higherGeography","georeferenceProtocol","eventRemarks","occurrenceRemarks","higherClassification","coordinateUncertaintyInMeters","georeferencedBy","references","associatedOccurrences","habitat","georeferenceVerificationStatus","http...unknown.org.recordID","taxonID","rights","http...unknown.org.recordEnteredBy","collectionID","reproductiveCondition","georeferenceSources","elevationAccuracy","gadm","verbatimEventDate","bibliographicCitation","preparations","nomenclaturalCode","language","type","identificationRemarks","verbatimElevation","identificationQualifier","county","distanceFromCentroidInMeters","typeStatus","dynamicProperties","fieldNumber","media_url","license"
"2451449072","Eugenia sparsa S.Moore",-5.94,-46.62,"cdc,gass84,colmafu,inmafu","4300f8d5-1ae5-49e5-a101-63894b005868","838537fc-4aeb-4980-8b58-97fbdcd1d91a","4b0d8edb-7504-42c4-9349-63e86c01bf97","da7fe11a-b42c-46cb-9e9d-02243edb738a","838537fc-4aeb-4980-8b58-97fbdcd1d91a","BR","EML","2024-08-01T12:04:19.955+00:00","2024-08-01T12:21:54.705+00:00",520,"PRESERVED_SPECIMEN","PRESENT",5416749,6,7707728,220,690,5014,3177662,5416749,5416749,"Eugenia sparsa S.Moore","Plantae","Tracheophyta","Myrtales","Myrtaceae","Eugenia","Eugenia sparsa","Eugenia","sparsa","SPECIES","ACCEPTED","NE","2017-08-15T00:00:00","SOUTH_AMERICA","Maranhão",2017,7,20,"2017-07-20",201,201,"2019-11-07T23:23:06.000+00:00","2024-08-01T12:21:54.705+00:00",FALSE,"urn:catalog:JBRJ:RB:1422125","none","none","48b29504-e1ac-432c-a0d6-f09f46023207","e89ac5d6-77af-4d2a-adef-f54d512af4fa",TRUE,"RB - Rio de Janeiro Botanical Garden Herbarium Collection","RB 797461","R.M.G. Konopezyk","J.E.Q. Faria","WGS84","Magnoliopsida","BR","none","none","LATIN_AMERICA","Brazil","LATIN_AMERICA","Rio de Janeiro Botanical Garden","386","urn:catalog:JBRJ:RB:1422125","RB01422125","04.936.616/0001-20","JBRJ","Área de transição entre cerrado e mata atlântica.","Sítio Novo","Conglomerado MA 558; subunidade 2, subparcela 1 e indivíduo 4RN.","2451449072","RB","urn:catalog:JBRJ:RB:1422125","Eugenia sparsa S.Moore",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/rb/1/42/21/25/01422125-1.jpg","http://creativecommons.org/licenses/by/4.0/"
"1252640698","Eugenia sparsa S.Moore",-15.998889,-54.681666,"cdc,cdround,gass84,incomis,inmafu","cd6e21c8-9e8a-493a-8a76-fbf7862069e5","061b4f20-f241-11da-a328-b8a03c50a862","17abcf75-2f1e-46dd-bf75-a5b21dd02655","996e30f8-f762-11e1-a439-00145eb45e9a","061b4f20-f241-11da-a328-b8a03c50a862","GB","DWC_ARCHIVE","2024-08-02T00:36:44.166+00:00","2024-08-02T01:15:40.457+00:00",407,"PRESERVED_SPECIMEN","PRESENT",5416749,6,7707728,220,690,5014,3177662,5416749,5416749,"Eugenia sparsa S.Moore","Plantae","Tracheophyta","Myrtales","Myrtaceae","Eugenia","Eugenia sparsa","Eugenia","sparsa","SPECIES","ACCEPTED","NE",NA,"SOUTH_AMERICA",NA,2004,1,17,"2004-01-17T00:00",17,17,NA,"2024-08-02T01:15:40.457+00:00",FALSE,"K001019767","none","none","fa252605-26f6-426c-9892-94d071c2c77f",NA,TRUE,NA,NA,"Mazine, F.F.; Vieira, S.; Araújo, A.O.; Almeida, G.S.C.","Faria, J.E.Q.","WGS84","Magnoliopsida","BR","none","none","LATIN_AMERICA","Brazil","EUROPE",NA,"1084","K001019767","K001019767",NA,"K",NA,"Poxoréo","Estrada de terra entre Irenópolis e Poxoréo, ca. 29,2 km da BR-070.","1252640698","Herbarium","http://specimens.kew.org/herbarium/K001019767","Eugenia sparsa S.Moore",311,"Poxoréo","Label","Data not transcribed.","Amostras coletadas para análise molecular (prensado em álcool)","Myrtaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://d2seqvvyy3b8p2.cloudfront.net/69cde693355569e73e6dbb7eae88f1fd.jpg","http://creativecommons.org/licenses/by/4.0/"
"1424070737","Eugenia sparsa S.Moore",-14.496111,-48.45,"cdc,cdround,gass84,colmafu,inmafu","4300f8d5-1ae5-49e5-a101-63894b005868","838537fc-4aeb-4980-8b58-97fbdcd1d91a","4b0d8edb-7504-42c4-9349-63e86c01bf97","da7fe11a-b42c-46cb-9e9d-02243edb738a","838537fc-4aeb-4980-8b58-97fbdcd1d91a","BR","EML","2024-08-01T12:04:19.955+00:00","2024-08-01T12:21:34.552+00:00",520,"PRESERVED_SPECIMEN","PRESENT",5416749,6,7707728,220,690,5014,3177662,5416749,5416749,"Eugenia sparsa S.Moore","Plantae","Tracheophyta","Myrtales","Myrtaceae","Eugenia","Eugenia sparsa","Eugenia","sparsa","SPECIES","ACCEPTED","NE","2010-11-01T00:00:00","SOUTH_AMERICA","Goiás",1996,10,19,"1996-10-19",293,293,"2017-10-18T16:32:08.000+00:00","2024-08-01T12:21:34.552+00:00",FALSE,"urn:catalog:JBRJ:RB:309535","none","none","48b29504-e1ac-432c-a0d6-f09f46023207","e89ac5d6-77af-4d2a-adef-f54d512af4fa",TRUE,"RB - Rio de Janeiro Botanical Garden Herbarium Collection","RB 389034","R.Marquete; et al.","J.E.Q.Faria Júnior","WGS84","Magnoliopsida","BR","none","none","LATIN_AMERICA","Brazil","LATIN_AMERICA","Rio de Janeiro Botanical Garden","2694","urn:catalog:JBRJ:RB:309535","RB00309535","04.936.616/0001-20","JBRJ","Text. solo argiloso/pedregoso. Relevo íngreme. Cerrado (queimado recentemente).","Niquelândia","Fazenda Traíras, perto do córrego, ao lado da Bauhinia.","1424070737","RB","urn:catalog:JBRJ:RB:309535","Eugenia sparsa S.Moore",830,NA,NA,NA,"Árvore c/ 6 metros de altura; heliófita; folhas cartáceas, discolores verdes, folhagem nova; inflorescência com botão floral alvacento.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/rb/0/30/95/35/00309535.jpg","http://creativecommons.org/licenses/by/4.0/"
"1424071726","Eugenia sparsa S.Moore",-19.016667,-57.433333,"cdc,cdround,gass84,colmafu,inmafu","4300f8d5-1ae5-49e5-a101-63894b005868","838537fc-4aeb-4980-8b58-97fbdcd1d91a","4b0d8edb-7504-42c4-9349-63e86c01bf97","da7fe11a-b42c-46cb-9e9d-02243edb738a","838537fc-4aeb-4980-8b58-97fbdcd1d91a","BR","EML","2024-08-01T12:04:19.955+00:00","2024-08-01T12:21:33.952+00:00",520,"PRESERVED_SPECIMEN","PRESENT",5416749,6,7707728,220,690,5014,3177662,5416749,5416749,"Eugenia sparsa S.Moore","Plantae","Tracheophyta","Myrtales","Myrtaceae","Eugenia","Eugenia sparsa","Eugenia","sparsa","SPECIES","ACCEPTED","NE","2018-06-01T00:00:00","SOUTH_AMERICA","Mato Grosso do Sul",1995,4,29,"1995-04-29",119,119,"2018-06-20T15:45:54.000+00:00","2024-08-01T12:21:33.952+00:00",FALSE,"urn:catalog:JBRJ:RB:310527","none","none","48b29504-e1ac-432c-a0d6-f09f46023207","e89ac5d6-77af-4d2a-adef-f54d512af4fa",FALSE,"RB - Rio de Janeiro Botanical Garden Herbarium Collection","RB 356648","Damasceno Jr.G.A.; Leitão Filho, H.F. & Semir, J.N.","J.E.Q.Faria","WGS84","Magnoliopsida","BR","none","none","LATIN_AMERICA","Brazil","LATIN_AMERICA","Rio de Janeiro Botanical Garden","D802","urn:catalog:JBRJ:RB:310527","RB00310527","04.936.616/0001-20","JBRJ","Mata ciliar do Rio Paraguai.","Corumbá","Faz. Rabicho.","1424071726","RB","urn:catalog:JBRJ:RB:310527","Eugenia sparsa S.Moore",NA,NA,NA,NA,"Árvore de 6m. Fruto maduro preto.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/rb/0/31/5/27/00310527.jpg","http://creativecommons.org/licenses/by/4.0/"
"2270674983","Eugenia sparsa S.Moore",-14.707946,-47.521893,"cdc,gass84,colmafu,inmafu","e05fd4c2-4d77-4c50-880e-1b22096af300","814cdfb5-d4f8-4453-815f-ea5df98e76bf",NA,"ac2ad091-91eb-482d-a73f-061744da5dbf","96710dc8-fecb-440d-ae3e-c34ae8a9616f","US","DWC_ARCHIVE","2024-08-01T19:50:53.747+00:00","2024-08-01T20:02:06.020+00:00",276,"PRESERVED_SPECIMEN","PRESENT",5416749,6,7707728,220,690,5014,3177662,5416749,5416749,"Eugenia sparsa S.Moore","Plantae","Tracheophyta","Myrtales","Myrtaceae","Eugenia","Eugenia sparsa","Eugenia","sparsa","SPECIES","ACCEPTED","NE",NA,"SOUTH_AMERICA","Goias",1994,2,9,"1994-02-09",40,40,"2023-07-16T07:02:03.000+00:00","2024-08-01T20:02:06.020+00:00",FALSE,"763770","none","none","530c45d0-e0f7-401d-b3f6-34f58482c485","0bbd7d8f-706c-4e2a-9505-58b142356450",TRUE,NA,"201393","G. Hatschbach; M. Hatschbach, J. M. Silva","M. Sobral, 1994.","WGS84","Magnoliopsida","BR","none","none","LATIN_AMERICA","Brazil","NORTH_AMERICA",NA,"60249","763770","ASU0034955",NA,"ASU",NA,NA,"Sao Joao da Alianca. Estrada para Vaozinho.","2270674983","Plants","a1e4610e-b51d-468f-8da1-1a0e72cd6592","Eugenia sparsa S.Moore",NA,NA,NA,NA,"xilopodifera, frutos vinosos.","Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Malvids|Rosids|Myrtales|Myrtaceae|Eugenia",8000,"alorozco","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=763770","herbariumSpecimenDuplicate: https://swbiodiversity.org/seinet/collections/individual/index.php?guid=938fe3fa-363d-4136-b1fe-1218a359dc05","Campo cerrado, solo rochoso.","reviewed - high confidence","a1e4610e-b51d-468f-8da1-1a0e72cd6592","167926","http://creativecommons.org/licenses/by-nc/3.0/","marisin","a2e32c87-d320-4a01-bafd-a9182ae2e191","fruit","GoogleMaps",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://swbiodiversity.org/imglib/h_seinet/seinet/ASU/ASU0034/ASU0034955_lg.jpg","http://creativecommons.org/licenses/by/4.0/"
"2996607333","Eugenia sparsa S.Moore",0,0,"cucdmis,gass84,iddativ,rdativ,zerocd,colmafu,inmafu","5c9a924c-8d45-4452-8604-415a118578aa","838537fc-4aeb-4980-8b58-97fbdcd1d91a","4b0d8edb-7504-42c4-9349-63e86c01bf97","ecb15bdf-98de-4937-84f5-4f93ee9efc73","838537fc-4aeb-4980-8b58-97fbdcd1d91a","BR","EML","2024-07-01T12:08:27.274+00:00","2024-07-01T12:24:38.163+00:00",202,"PRESERVED_SPECIMEN","PRESENT",5416749,6,7707728,220,690,5014,3177662,5416749,5416749,"Eugenia sparsa S.Moore","Plantae","Tracheophyta","Myrtales","Myrtaceae","Eugenia","Eugenia sparsa","Eugenia","sparsa","SPECIES","ACCEPTED","NE",NA,NA,"Mato Grosso do Sul",1988,8,11,"1988-08-11",224,224,NA,"2024-07-01T12:24:38.163+00:00",FALSE,"5044449","none","none","b745abcd-45b2-4a84-a327-9298e795dbfb","d3b42067-b567-4d47-a136-bb5d52ed32fc",TRUE,NA,"MBM 142326","Pott, A","Sobral, M","WGS84","Magnoliopsida","BR","none","none","LATIN_AMERICA","Brazil","LATIN_AMERICA","MBM","4379","5044449","MBM142326",NA,"MBM",NA,"Corumbá","Fazenda Berenice, Nhecolândia","2996607333","MBM","5044449","Eugenia sparsa S.Moore",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"none","1988-8-11","Herbário Virtual REFLORA Disponível em: http://herbariovirtualreflora.jbrj.gov.br/reflora/herbarioVirtual/ConsultaPublicoHVUC/ConsultaPublicoHVUC.do?idTestemunho=5044449",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://imagens2.jbrj.gov.br/fsi/server?type=image&source=mbm/MBM/0/14/23/26/MBM142326.JPG","http://creativecommons.org/licenses/by/4.0/"
"2996775781","Eugenia sparsa S.Moore",0,0,"cucdmis,gass84,iddativ,zerocd,colmafu,inmafu","5c9a924c-8d45-4452-8604-415a118578aa","838537fc-4aeb-4980-8b58-97fbdcd1d91a","4b0d8edb-7504-42c4-9349-63e86c01bf97","ecb15bdf-98de-4937-84f5-4f93ee9efc73","838537fc-4aeb-4980-8b58-97fbdcd1d91a","BR","EML","2024-07-01T12:08:27.274+00:00","2024-07-01T12:24:38.027+00:00",202,"PRESERVED_SPECIMEN","PRESENT",5416749,6,7707728,220,690,5014,3177662,5416749,5416749,"Eugenia sparsa S.Moore","Plantae","Tracheophyta","Myrtales","Myrtaceae","Eugenia","Eugenia sparsa","Eugenia","sparsa","SPECIES","ACCEPTED","NE",NA,NA,"Mato Grosso do Sul",1985,10,31,"1985-10-31",304,304,NA,"2024-07-01T12:24:38.027+00:00",FALSE,"5032028","none","none","b745abcd-45b2-4a84-a327-9298e795dbfb","d3b42067-b567-4d47-a136-bb5d52ed32fc",TRUE,NA,"MBM 110282","Dambrós, LA;et al.","Sobral, M","WGS84","Magnoliopsida","BR","none","none","LATIN_AMERICA","Brazil","LATIN_AMERICA","MBM","325","5032028","MBM110282",NA,"MBM",NA,"Coxim","Próximo a Fazenda Santa Rosa","2996775781","MBM","5032028","Eugenia sparsa S.Moore",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"none","1985-10-31","Herbário Virtual REFLORA Disponível em: http://herbariovirtualreflora.jbrj.gov.br/reflora/herbarioVirtual/ConsultaPublicoHVUC/ConsultaPublicoHVUC.do?idTestemunho=5032028",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://imagens2.jbrj.gov.br/fsi/server?type=image&source=mbm/MBM/0/11/2/82/MBM110282.JPG","http://creativecommons.org/licenses/by/4.0/"
