"key","scientificName","decimalLatitude","decimalLongitude","issues","datasetKey","publishingOrgKey","networkKeys","installationKey","hostingOrganizationKey","publishingCountry","protocol","lastCrawled","lastParsed","crawlId","basisOfRecord","occurrenceStatus","taxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","acceptedTaxonKey","acceptedScientificName","kingdom","phylum","order","family","genus","species","genericName","specificEpithet","taxonRank","taxonomicStatus","iucnRedListCategory","dateIdentified","elevation","continent","stateProvince","year","month","day","eventDate","startDayOfYear","endDayOfYear","modified","lastInterpreted","isSequenced","identifier","facts","relations","institutionKey","collectionKey","isInCluster","datasetName","otherCatalogNumbers","recordedBy","identifiedBy","geodeticDatum","class","countryCode","recordedByIDs","identifiedByIDs","gbifRegion","country","publishedByGbifRegion","rightsHolder","recordNumber","identifier.1","catalogNumber","institutionID","institutionCode","municipality","locality","gbifID","collectionCode","occurrenceID","name","gadm","dynamicProperties","fieldNotes","occurrenceRemarks","higherGeography","georeferenceProtocol","eventRemarks","higherClassification","references","preparations","habitat","nomenclaturalCode","verbatimEventDate","county","language","type","identificationRemarks","verbatimElevation","collectionID","georeferenceSources","acceptedNameUsage","fieldNumber","verbatimLocality","typeStatus","taxonRemarks","individualCount","bibliographicCitation","georeferencedDate","organismID","ownerInstitutionCode","accessRights","typifiedName","eventID","disposition","media_url","license"
"1457569206","Myrcia grandifolia Cambess.",-22.292222,-44.765278,"cdc,cdround,gass84,colmafu,inmafu","4300f8d5-1ae5-49e5-a101-63894b005868","838537fc-4aeb-4980-8b58-97fbdcd1d91a","4b0d8edb-7504-42c4-9349-63e86c01bf97","da7fe11a-b42c-46cb-9e9d-02243edb738a","838537fc-4aeb-4980-8b58-97fbdcd1d91a","BR","EML","2024-08-01T12:04:19.955+00:00","2024-08-01T12:21:49.205+00:00",520,"PRESERVED_SPECIMEN","PRESENT",3174105,6,7707728,220,690,5014,3173889,3174105,3174105,"Myrcia grandifolia Cambess.","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrcia","Myrcia grandifolia","Myrcia","grandifolia","SPECIES","ACCEPTED","NE","2016-07-01T00:00:00",1776,"SOUTH_AMERICA","Minas Gerais",2016,7,17,"2016-07-17",199,199,"2017-10-15T17:36:29.000+00:00","2024-08-01T12:21:49.205+00:00",FALSE,"urn:catalog:JBRJ:RB:1306941","none","none","48b29504-e1ac-432c-a0d6-f09f46023207","e89ac5d6-77af-4d2a-adef-f54d512af4fa",TRUE,"RB - Rio de Janeiro Botanical Garden Herbarium Collection","RB 727742","J.E.Q. Faria","J.E.Q. Faria","WGS84","Magnoliopsida","BR","none","none","LATIN_AMERICA","Brazil","LATIN_AMERICA","Rio de Janeiro Botanical Garden","6321","urn:catalog:JBRJ:RB:1306941","RB01306941","04.936.616/0001-20","JBRJ","Itamonte","Margem da estrada de terra após o bairro rural de Colina","1457569206","RB","urn:catalog:JBRJ:RB:1306941","Myrcia grandifolia Cambess.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/rb/1/30/69/41/01306941.jpg","http://creativecommons.org/licenses/by/4.0/"
"4519393355","Myrcia grandifolia Cambess.",-22.3925,-44.756667,"cdc,cdround,gass84,inmano","cd6e21c8-9e8a-493a-8a76-fbf7862069e5","061b4f20-f241-11da-a328-b8a03c50a862","17abcf75-2f1e-46dd-bf75-a5b21dd02655","996e30f8-f762-11e1-a439-00145eb45e9a","061b4f20-f241-11da-a328-b8a03c50a862","GB","DWC_ARCHIVE","2024-08-02T00:36:44.166+00:00","2024-08-02T01:15:29.338+00:00",407,"PRESERVED_SPECIMEN","PRESENT",3174105,6,7707728,220,690,5014,3173889,3174105,3174105,"Myrcia grandifolia Cambess.","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrcia","Myrcia grandifolia","Myrcia","grandifolia","SPECIES","ACCEPTED","NE","2012-11-01T00:00:00",1379,"SOUTH_AMERICA",NA,2012,11,24,"2012-11-24T00:00",329,329,NA,"2024-08-02T01:15:29.338+00:00",FALSE,"K000567442","none","none",NA,NA,TRUE,NA,NA,"Faria, J.E.Q.","Sobral, M.","WGS84","Magnoliopsida","BR","none","none","LATIN_AMERICA","Brazil","EUROPE",NA,"3075","K000567442","K000567442",NA,NA,"Resende","Margem da BR-354, proximo a divisa MG/RJ, eucalyptal na descida da serra da mantiqueira. Floresta ombrofila perturbada.","4519393355","Herbarium","http://specimens.kew.org/herbarium/K000567442","Myrcia grandifolia Cambess.",NA,NA,NA,NA,"Resende","Label","Arvoreta ca. 3m de altura, caule rugoso, botoes florais verdes e frutos imaturos verde-avermelhados. (Coletado material em silica gel).","Myrtaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://d2seqvvyy3b8p2.cloudfront.net/afe3cd87c8f7467b04ec3958de944e4d.jpg","http://creativecommons.org/licenses/by/4.0/"
"4519388325","Myrcia grandifolia Cambess.",-22.295278,-44.766667,"cdc,cdround,gass84,inmano","cd6e21c8-9e8a-493a-8a76-fbf7862069e5","061b4f20-f241-11da-a328-b8a03c50a862","17abcf75-2f1e-46dd-bf75-a5b21dd02655","996e30f8-f762-11e1-a439-00145eb45e9a","061b4f20-f241-11da-a328-b8a03c50a862","GB","DWC_ARCHIVE","2024-08-02T00:36:44.166+00:00","2024-08-02T01:15:34.057+00:00",407,"PRESERVED_SPECIMEN","PRESENT",3174105,6,7707728,220,690,5014,3173889,3174105,3174105,"Myrcia grandifolia Cambess.","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrcia","Myrcia grandifolia","Myrcia","grandifolia","SPECIES","ACCEPTED","NE","2012-11-01T00:00:00",1697,"SOUTH_AMERICA",NA,2012,11,23,"2012-11-23T00:00",328,328,NA,"2024-08-02T01:15:34.057+00:00",FALSE,"K000567443","none","none",NA,NA,TRUE,NA,NA,"Faria, J.E.Q.","Sobral, M.","WGS84","Magnoliopsida","BR","none","none","LATIN_AMERICA","Brazil","EUROPE",NA,"3059","K000567443","K000567443",NA,NA,"Itamonte","Margem da estrada na saida do bairro rural da Colina para subir a serra. Floresta antropizada, borda de eucaliptal.","4519388325","Herbarium","http://specimens.kew.org/herbarium/K000567443","Myrcia grandifolia Cambess.",NA,NA,NA,NA,"Itamonte","Label","Arvoreta ca. 2m de altura, caule ragoso soltando fnias placas, fruto imaturo avermelhado e maduro vinaceo.","Myrtaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://d2seqvvyy3b8p2.cloudfront.net/d43d847bc6b395b0a01c9c1e29272b53.jpg","http://creativecommons.org/licenses/by/4.0/"
"1424489748","Myrcia grandifolia Cambess.",-22.383333,-44.75,"cdc,cdround,gass84,colmafu,inmafu","4300f8d5-1ae5-49e5-a101-63894b005868","838537fc-4aeb-4980-8b58-97fbdcd1d91a","4b0d8edb-7504-42c4-9349-63e86c01bf97","da7fe11a-b42c-46cb-9e9d-02243edb738a","838537fc-4aeb-4980-8b58-97fbdcd1d91a","BR","EML","2024-08-01T12:04:19.955+00:00","2024-08-01T12:21:43.977+00:00",520,"PRESERVED_SPECIMEN","PRESENT",3174105,6,7707728,220,690,5014,3173889,3174105,3174105,"Myrcia grandifolia Cambess.","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrcia","Myrcia grandifolia","Myrcia","grandifolia","SPECIES","ACCEPTED","NE","2012-11-01T00:00:00",1379,"SOUTH_AMERICA","Rio de Janeiro",2012,11,24,"2012-11-24",329,329,"2017-10-19T04:24:10.000+00:00","2024-08-01T12:21:43.977+00:00",FALSE,"urn:catalog:JBRJ:RB:873145","none","none","48b29504-e1ac-432c-a0d6-f09f46023207","e89ac5d6-77af-4d2a-adef-f54d512af4fa",TRUE,"RB - Rio de Janeiro Botanical Garden Herbarium Collection","RB 604576","J.E.Q. Faria","M. Sobral","WGS84","Magnoliopsida","BR","none","none","LATIN_AMERICA","Brazil","LATIN_AMERICA","Rio de Janeiro Botanical Garden","3073","urn:catalog:JBRJ:RB:873145","RB00873145","04.936.616/0001-20","JBRJ","Resende","Margem da BR-354; próximo à divisa MG/RJ, eucaliptal na descida da serra da mantiqueira.","1424489748","RB","urn:catalog:JBRJ:RB:873145","Myrcia grandifolia Cambess.",NA,NA,"Floresta Ombrófila Perturbada","Arvoreta ca 3 m alt.; caule rugoso; botões florais verdes e frutos imaturos verde-avermelhados (coletado material em silica de gel)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/rb/0/87/31/45/00873145.jpg","http://creativecommons.org/licenses/by/4.0/"
"1424488287","Myrcia grandifolia Cambess.",-19.4,-43.316667,"cdc,cdround,gass84,colmafu,inmafu","4300f8d5-1ae5-49e5-a101-63894b005868","838537fc-4aeb-4980-8b58-97fbdcd1d91a","4b0d8edb-7504-42c4-9349-63e86c01bf97","da7fe11a-b42c-46cb-9e9d-02243edb738a","838537fc-4aeb-4980-8b58-97fbdcd1d91a","BR","EML","2024-08-01T12:04:19.955+00:00","2024-08-01T12:21:43.744+00:00",520,"PRESERVED_SPECIMEN","PRESENT",3174105,6,7707728,220,690,5014,3173889,3174105,3174105,"Myrcia grandifolia Cambess.","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrcia","Myrcia grandifolia","Myrcia","grandifolia","SPECIES","ACCEPTED","NE","2018-08-01T00:00:00",681,"SOUTH_AMERICA","Minas Gerais",2012,12,3,"2012-12-03",338,338,"2018-08-22T17:17:20.000+00:00","2024-08-01T12:21:43.744+00:00",FALSE,"urn:catalog:JBRJ:RB:871418","none","none","48b29504-e1ac-432c-a0d6-f09f46023207","e89ac5d6-77af-4d2a-adef-f54d512af4fa",FALSE,"RB - Rio de Janeiro Botanical Garden Herbarium Collection","RB 603308","J.E.Q. Faria","T.Fernandes","WGS84","Magnoliopsida","BR","none","none","LATIN_AMERICA","Brazil","LATIN_AMERICA","Rio de Janeiro Botanical Garden","3136","urn:catalog:JBRJ:RB:871418","RB00871418","04.936.616/0001-20","JBRJ","Itambé do Mato Dentro","Margem da estrada de terra da Cabeça de Boi (Santano do rio Negro) para a cachoeira do chiquinho.","1424488287","RB","urn:catalog:JBRJ:RB:871418","Myrcia grandifolia Cambess.",NA,NA,"Mata ciliar","Árvore ca 5 m alt.; fruto imaturo verde",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/rb/0/87/14/18/00871418.jpg","http://creativecommons.org/licenses/by/4.0/"
"1928316389","Myrcia grandifolia Cambess.",-15.806417,-40.517917,"cdround,gass84,mdativ","d415c253-4d61-4459-9d25-4015b9084fb0","ae447c50-b8a8-11d8-92a4-b8a03c50a862",NA,"17017c2c-036b-45d9-b045-606d21b00771","ae447c50-b8a8-11d8-92a4-b8a03c50a862","US","EML","2024-07-21T04:09:35.210+00:00","2024-07-21T05:13:35.670+00:00",415,"PRESERVED_SPECIMEN","PRESENT",3174105,6,7707728,220,690,5014,3173889,3174105,3174105,"Myrcia grandifolia Cambess.","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrcia","Myrcia grandifolia","Myrcia","grandifolia","SPECIES","ACCEPTED","NE","2007-01-01T00:00:00",NA,"SOUTH_AMERICA","Minas Gerais",2004,1,30,"2004-01-30",30,30,NA,"2024-07-21T05:13:35.670+00:00",FALSE,"26b25deb-dabe-42da-9def-edc0e27c771e","none","none","ab83e5ab-f4f7-4c9b-a1d5-eb779dfb9377","b2190553-4505-4fdd-8fff-065c8ca26f72",TRUE,"Vascular plants",NA,"W. W. Thomas","M. Sobral","WGS84","Magnoliopsida","BR","none","none","LATIN_AMERICA","Brazil","NORTH_AMERICA","The New York Botanical Garden","13671","26b25deb-dabe-42da-9def-edc0e27c771e","00924142","http://biocol.org/urn:lsid:biocol.org:col:15556","NY",NA,"Fazenda Boi Rajado, 5.9 km E of Macarani-Bandeiras road on farm road ca. 12 km N of Bandeiras (at Fazenda Canada)","1928316389","NY","26b25deb-dabe-42da-9def-edc0e27c771e","Myrcia grandifolia Cambess.",NA,NA,NA,NA,NA,NA,NA,NA,"http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=796775","sheet","Montane humid forest.","ICN","30 Jan 2004","Bandeira Mun.","en","PhysicalObject","Duplicate specimen at herb. CEPEC 102470, annotated as such,  verif. Dec 2016","2723-2789 ft","http://biocol.org/urn:lsid:biocol.org:col:15556",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://sweetgum.nybg.org/images3/2164/877/00924142.jpg","http://creativecommons.org/licenses/by/4.0/"
"912287198","Gomidesia grandifolia (Cambess.) Mattos & D.Legrand",-21.416667,-42.95,"cdc,cdround,gass84,incomis,inmafu","cd6e21c8-9e8a-493a-8a76-fbf7862069e5","061b4f20-f241-11da-a328-b8a03c50a862","17abcf75-2f1e-46dd-bf75-a5b21dd02655","996e30f8-f762-11e1-a439-00145eb45e9a","061b4f20-f241-11da-a328-b8a03c50a862","GB","DWC_ARCHIVE","2024-08-02T00:36:44.166+00:00","2024-08-02T01:15:21.969+00:00",407,"PRESERVED_SPECIMEN","PRESENT",3174107,6,7707728,220,690,5014,3173889,3174105,3174105,"Myrcia grandifolia Cambess.","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrcia","Myrcia grandifolia","Gomidesia","grandifolia","SPECIES","SYNONYM","NE",NA,550,"SOUTH_AMERICA",NA,2004,3,6,"2004-03-06T00:00",66,66,NA,"2024-08-02T01:15:21.969+00:00",FALSE,"K000331826","none","none","fa252605-26f6-426c-9892-94d071c2c77f",NA,TRUE,NA,NA,"Lucas, E.J.; Forzza, R.C.; Assis, L.C.S.; Jardim, J.G.; Menini Neto, L.; Silva, B.R.; Edwards, S.; Zappi, D.C.",NA,"WGS84","Magnoliopsida","BR","none","none","LATIN_AMERICA","Brazil","EUROPE",NA,"240","K000331826","K000331826",NA,"K","Descoberto","Reserva Biologica da Represa do Grama, trilha principal partindo da casa de Seu Luiz.","912287198","Herbarium","http://specimens.kew.org/herbarium/K000331826","Gomidesia grandifolia (Cambess.) Mattos & D.Legrand",NA,NA,NA,NA,"Descoberto","label","Sapling 3m x 2cm., indumentum rusty red-brown. Collected sterile.","Myrtaceae",NA,NA,"Mata Atlantica de interior alterada.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://d2seqvvyy3b8p2.cloudfront.net/95d54c321067e5ad916bbf7598b1aaea.jpg","http://creativecommons.org/licenses/by/4.0/"
"1930299380","Myrcia grandifolia Cambess.",-14.2814954,-38.9965836,"cdrep,mdativ","d415c253-4d61-4459-9d25-4015b9084fb0","ae447c50-b8a8-11d8-92a4-b8a03c50a862",NA,"17017c2c-036b-45d9-b045-606d21b00771","ae447c50-b8a8-11d8-92a4-b8a03c50a862","US","EML","2024-07-21T04:09:35.210+00:00","2024-07-21T05:14:24.172+00:00",415,"PRESERVED_SPECIMEN","PRESENT",3174105,6,7707728,220,690,5014,3173889,3174105,3174105,"Myrcia grandifolia Cambess.","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrcia","Myrcia grandifolia","Myrcia","grandifolia","SPECIES","ACCEPTED","NE","2002-01-01T00:00:00",NA,"SOUTH_AMERICA","Bahia",2000,5,19,"2000-05-19",140,140,NA,"2024-07-21T05:14:24.172+00:00",FALSE,"b31fa39d-1999-4548-a04d-630ba46b169b","none","none","ab83e5ab-f4f7-4c9b-a1d5-eb779dfb9377","b2190553-4505-4fdd-8fff-065c8ca26f72",TRUE,"Vascular plants",NA,"S. C. de Sant'Ana","M. Sobral","WGS84","Magnoliopsida","BR","none","none","LATIN_AMERICA","Brazil","NORTH_AMERICA","The New York Botanical Garden","859","b31fa39d-1999-4548-a04d-630ba46b169b","778809","http://biocol.org/urn:lsid:biocol.org:col:15556","NY",NA,"APA de Itacaré/Serra Grande. Km. 13 da Rod. Itacaré/Serra Grande.","1930299380","NY","b31fa39d-1999-4548-a04d-630ba46b169b","Myrcia grandifolia Cambess.",NA,NA,NA,NA,NA,"Other source",NA,NA,"http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=798823","sheet","Região de mata higrófila sul baiana.","ICN","19 May 2000","Itacaré Mun.","en","PhysicalObject",NA,NA,"http://biocol.org/urn:lsid:biocol.org:col:15556","CRIA (Centro de Referência em Informação Ambiental)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://sweetgum.nybg.org/images3/2154/197/00778809.jpg","http://creativecommons.org/licenses/by/4.0/"
